SourceServerName,SourceDatabaseName,id,name,description,type,dialer_id,dialer_target_name,result_file_name,status,tenant_id,application_name,application_id,priority_template_id,disposition_plan_id,timezone_group_id,schedule_id,service_message_id,wait_message_id,recording_schedule_id,exclude_records_for_location,last_modified_date,last_modified_by,lyricall_script_id,language_id,location,service_short_name,music_source_id,agent_answer_mach_disp_id,Completed_Indicator,Last_Update_User_Id,Last_Update_Timestamp,multi_line_reroute_voice_id,personal_greetings_schedule_id,personal_greeting_id,uip_service_id
Domestic_ALM,meldb,486,IH_TN_61__M_1STM,Seg-IH In-House Collections (Specialist #61)1st Pass Manual,0,18,IH_TN_61__M_1STM,,0,1,,3000001,3000001,3000002,3000001,3000001,0,0,-1,0,2016-03-02 18:49:12.000,psloot,0,1,,IH611M,1,0,I,ALM_Extract,2016-03-02 11:51:05.220,-1,-1,0,0
Domestic_ALM,meldb,487,Test123,Test123,0,18,Test123,,0,1,,3000001,3000001,0,3000001,3000001,0,0,-1,0,2016-03-02 22:08:23.000,jjain11,0,1,,Test12,0,0,I,ALM_Extract,2016-03-02 15:16:04.850,-1,-1,0,0
Domestic_ALM,meldb,488,Z_TESTDOM4,Z_TESTDOM4,0,18,Z_TESTDOM4,,0,1,,3000001,3000001,3000002,3000001,3000001,0,0,-1,0,2016-03-04 12:01:38.000,mvm10,0,1,,DOM4,0,0,I,ALM_Extract,2016-03-04 05:07:47.240,-1,-1,0,0
Domestic_ALM,meldb,489,Test12,Test12,0,18,Test12,,0,1,,3000001,0,3000002,3000001,3000001,0,0,-1,0,2016-03-05 02:13:45.000,jjain11,0,1,,Test12,0,0,I,ALM_Extract,2016-03-04 19:15:21.433,-1,-1,0,0
Domestic_ALM,meldb,490,CRT_TN_MSB_M_BLSP,Seg-CRT MSB Accounts 1st Pass Blaster,0,12,CRT_TN_MSB_M_BLSP,,0,1,,110000002,110000002,110000037,110000002,110000001,0,110001102,-1,0,2016-03-10 23:49:29.000,psloot,0,1,,CRTBLS,1,0,I,ALM_Extract,2016-03-10 15:30:39.387,-1,-1,0,0
Domestic_ALM,meldb,491,IH_TN_34__M_MSGM,Seg-IH In-House Collections (Specialist #34)Message Pass Manual,0,18,IH_TN_34__M_MSGM,,0,1,,3000001,3000001,3000002,3000001,3000001,0,0,-1,0,2016-03-11 00:13:14.000,psloot,0,1,,IH34MS,1,0,I,ALM_Extract,2016-03-10 17:21:58.077,-1,-1,0,0
Domestic_ALM,meldb,492,IH_TN_60__M_MSGM,Seg-IH In-House Collections (Specialist #60) Msg Pass Manual,0,18,IH_TN_60__M_MSGM,,0,1,,3000001,3000001,3000002,3000001,3000001,0,0,-1,0,2016-03-11 13:21:32.000,psloot,0,1,,IH60MS,1,0,I,ALM_Extract,2016-03-11 06:25:02.997,-1,-1,0,0
Domestic_ALM,meldb,493,IH_TN_61__M_MSGM,Seg-IH In-House Collections (Specialist #61) Msg Pass Manual,0,18,IH_TN_61__M_MSGM,,0,1,,3000001,3000001,3000002,3000001,3000001,0,0,-1,0,2016-03-11 13:21:03.000,psloot,0,1,,IH61MS,1,0,I,ALM_Extract,2016-03-11 06:25:03.000,-1,-1,0,0
Domestic_ALM,meldb,494,IH_TN_____M_1STP,Seg-IH In-House Collections 1st Pass Predictive,0,12,IH_TN_____M_1STP,,0,1,,110000002,110000002,110000005,110000002,110000001,0,110001102,-1,0,2016-08-04 01:02:48.000,psloot,0,1,,IH1STP,1,0,I,ALM_Extract,2016-03-14 18:13:45.970,-1,-1,0,0
Domestic_ALM,meldb,495,IH_TN_____M_1STM,Seg-IH In-House Collections 1st Pass Preview,0,12,IH_TN_____M_1STM,,0,1,,110000002,110000002,110000026,110000002,110000001,0,110001102,-1,0,2016-08-04 01:02:29.000,psloot,0,1,,IH1STM,1,0,I,ALM_Extract,2016-03-14 18:13:45.970,-1,-1,0,0
